phenomenon,model,n,aligned,alignment_rate
comparative_financial_reasoning,rule,8,1,0.125
comparative_financial_reasoning,tfidf,8,4,0.5
comparative_financial_reasoning,finbert,8,4,0.5
contrast_composition,rule,4,2,0.5
contrast_composition,tfidf,4,3,0.75
contrast_composition,finbert,4,2,0.5
intention_vs_realization,rule,4,2,0.5
intention_vs_realization,tfidf,4,2,0.5
intention_vs_realization,finbert,4,3,0.75
negation,rule,4,2,0.5
negation,tfidf,4,1,0.25
negation,finbert,4,3,0.75
uncertainty,rule,4,0,0.0
uncertainty,tfidf,4,2,0.5
uncertainty,finbert,4,4,1.0
