sentence,label,label_name,finbert_prediction,tfidf_prediction,rule_prediction,rule_correct,tfidf_correct,finbert_correct,negation,contrast,expectation,uncertainty,disagreement_category,rule_prediction_name,tfidf_prediction_name,finbert_prediction_name
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
"In July-September 2009 , Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 .",0,negative,0,0,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,negative,negative
"` Our strategic cooperation with Rentakran brings us new customers and already-working relationships with the authorities of the new territories , ' said Jarmo Laasanen , a senior manager at Cramo .",2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
"`` Lining stone sales were also good in the early autumn , and order books are strong to the end of the year .",2,positive,2,1,2,True,False,True,False,False,False,False,finbert_rule_correct,positive,neutral,positive
"At 12.01 pm , the OMX Helsinki 25 was down 0.66 pct to 3,143.57 and the OMX Helsinki was 0.67 pct lower at 10,530.74 on 253 mln eur turnover .",0,negative,0,0,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,negative,negative
The company said that it has agreed to a EUR160m unsecured credit line from lenders .,1,neutral,1,2,1,True,False,True,False,False,False,False,finbert_rule_correct,neutral,positive,neutral
"In a note to clients published , the Dutch broker described the company 's third quarter results as ` soft ' , although it also noted that Elcoteq retained its guidance , dealers said .",1,neutral,0,1,1,True,True,False,False,True,True,False,tfidf_rule_correct,neutral,neutral,negative
"Satama 's net profit for the third quarter of 2007 rose to 275,000 euro ( $ 395,000 ) from 270,000 euro ( $ 388,000 ) for the same period of 2006 .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
Finnish Raute Precision has won large glass batch plant and mortar plant orders from Mexico and the US .,2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier , the company said Thursday .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"Xerox and Stora Enso have teamed up to tailor the iGen3 to the short-run , on-demand packaging market .",2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 .,0,negative,0,0,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,negative,negative
"ADP News - Nov 13 , 2008 - Finnish printed circuit board PCB maker Aspocomp Group Oyj OMX : ACG1V said today that its net loss narrowed to EUR 2 million USD 2.5 m in the first nine months of 2008 from EUR 57",2,positive,2,2,0,False,True,True,False,False,False,False,finbert_tfidf_correct,negative,positive,positive
"In the second quarter of 2010 , the group 's pretax loss narrowed to EUR 400,000 from EUR 600,000 .",2,positive,2,2,0,False,True,True,False,False,False,False,finbert_tfidf_correct,negative,positive,positive
"As part of the transaction , M-real and Sappi have also signed a long-term agreement on the supply of pulp and BCTMP and other smaller services and supplies .",2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
The insurance division turned a EUR120m profit .,1,neutral,2,1,1,True,True,False,False,False,False,False,tfidf_rule_correct,neutral,neutral,positive
"Profit for the period was EUR 9.8 mn , up from EUR 6.0 mn in 2004 .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"Among the Scandinavian companies present in St. Petersburg , is also named the Swedish concern NCC , which implements projects in the field of asphalt production , road and housing construction ( project Swedish Krona ) .",1,neutral,1,1,0,False,True,True,False,False,False,False,finbert_tfidf_correct,negative,neutral,neutral
"Creating interfaces that are more similar to interactions in the real world can enable experiences that are more natural and intuitive , in the same way that modern games and movies are more immersive through the use of realistic 3-D graphics .",1,neutral,1,1,2,False,True,True,False,False,False,False,finbert_tfidf_correct,positive,neutral,neutral
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
Sanoma Corporation wants a new and better frequency for the Helsinki metropolitan area .,1,neutral,2,1,2,False,True,False,False,False,False,False,tfidf_only_correct,positive,neutral,positive
The increase range will vary up to 10 % .,1,neutral,1,2,1,True,False,True,False,False,False,False,finbert_rule_correct,neutral,positive,neutral
"Sales in Latin America increased by 42 % to EUR 432mn , and a total of 8.7 mn mobile devices were sold in the area , representing an increase of 32 % from the corresponding period in 2009 .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
"India 's trade with Russia currently stands at four billion dollars , growing 9.6 per cent in fiscal 2007 .",2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
`` The announced investment of the carmaker Hyundai for example sounds optimistically for us as of course new cars mean new tires . '',2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,0,negative,0,0,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,negative,negative
LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100 .,0,negative,0,1,0,True,False,True,False,False,False,False,finbert_rule_correct,negative,neutral,negative
"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",2,positive,2,2,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,positive,positive
Finnish silicon wafers manufacturer Okmetic Oyj said it swung to a net profit of 4.9 mln euro $ 6.3 mln in the first nine months of 2006 from a net loss of 1.8 mln euro $ 2.3 mln a year earlier .,2,positive,2,2,0,False,True,True,False,False,False,False,finbert_tfidf_correct,negative,positive,positive
The company expects its net sales for the whole 2009 to remain below the 2008 level .,0,negative,0,1,1,False,False,True,False,False,True,False,finbert_only_correct,neutral,neutral,negative
Both the net sales and operating profit were record high in the company 's history .,2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
"( ADP News ) - Feb 12 , 2009 - Finnish construction company Lemminkainen Oyj ( HEL : LEM1S ) said today its net profit decreased to EUR 63.5 million ( USD 81.1 m ) for 2008 from EUR 80.6 million for 2007 .",0,negative,0,0,1,False,True,True,False,False,False,False,finbert_tfidf_correct,neutral,negative,negative
"VDW combined with LXE devices enhances productivity , enabling workers to use a single device to perform voice , scanning and keyboard functions .",2,positive,2,1,2,True,False,True,False,False,False,False,finbert_rule_correct,positive,neutral,positive
Cision says the sale will return its U.K. operation to profitability .,2,positive,2,1,2,True,False,True,False,False,False,False,finbert_rule_correct,positive,neutral,positive
"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .",2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
Finnlines estimated in its annual general meeting that 2008 will be financially a tough year due to large investments .,0,negative,0,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,negative
Finnish Bore that is owned by the Rettig family has grown recently through the acquisition of smaller shipping companies .,2,positive,2,1,1,False,False,True,False,False,False,False,finbert_only_correct,neutral,neutral,positive
