id,phenomenon,pair,variant,sentence,intended_label_name,intended_label,rule_prediction,rule_score,rule_positive_hits,rule_negative_hits,tfidf_prediction,tfidf_confidence,tfidf_prob_negative,tfidf_prob_neutral,tfidf_prob_positive,finbert_prediction,finbert_confidence,finbert_prob_negative,finbert_prob_neutral,finbert_prob_positive,rule_prediction_name,tfidf_prediction_name,finbert_prediction_name,rule_aligned,tfidf_aligned,finbert_aligned,tfidf_intended_probability,finbert_intended_probability
C1,comparative_financial_reasoning,profit_direction,increase,Operating profit increased from EUR 10 million to EUR 15 million.,positive,2,1,0,0,0,2,0.7665633379317447,0.12746518291297063,0.10597147915528472,0.7665633379317447,2,0.99944824,0.00030481082,0.0002469752,0.99944824,neutral,positive,positive,False,True,True,0.7665633379317447,0.9994482398033142
C2,comparative_financial_reasoning,profit_direction,decrease,Operating profit decreased from EUR 15 million to EUR 10 million.,negative,0,1,0,0,0,0,0.5312419185733139,0.5312419185733139,0.15609190546843904,0.312666175958247,0,0.99859005,0.99859005,0.00090464804,0.00050527306,neutral,negative,negative,False,True,True,0.5312419185733139,0.9985900521278381
C3,comparative_financial_reasoning,loss_direction,increase,Operating loss increased from EUR 10 million to EUR 15 million.,negative,0,0,-1,0,1,2,0.7253219641137706,0.16758227719269708,0.10709575869353243,0.7253219641137706,2,0.9992567,0.00052335963,0.00021994811,0.9992567,negative,positive,positive,True,False,False,0.16758227719269708,0.0005233596311882138
C4,comparative_financial_reasoning,loss_direction,decrease,Operating loss decreased from EUR 15 million to EUR 10 million.,positive,2,0,-1,0,1,0,0.5159348686875697,0.5159348686875697,0.15310023607103346,0.3309648952413969,0,0.9984946,0.9984946,0.0008591466,0.0006462425,negative,negative,negative,False,False,False,0.3309648952413969,0.0006462425226345658
C5,comparative_financial_reasoning,cost_direction,increase,Operating costs increased from EUR 10 million to EUR 15 million.,negative,0,1,0,0,0,2,0.7638620025746043,0.13665103101948387,0.09948696640591174,0.7638620025746043,2,0.999418,0.0002987979,0.0002832309,0.999418,neutral,positive,positive,False,False,False,0.13665103101948387,0.00029879790963605046
C6,comparative_financial_reasoning,cost_direction,decrease,Operating costs decreased from EUR 15 million to EUR 10 million.,positive,2,1,0,0,0,0,0.4687330408740362,0.4687330408740362,0.15629290063377818,0.3749740584921857,0,0.9983791,0.9983791,0.0009908585,0.00063001364,neutral,negative,negative,False,False,False,0.3749740584921857,0.000630013644695282
C7,comparative_financial_reasoning,revenue_direction,increase,Revenue increased from EUR 10 million to EUR 15 million.,positive,2,1,0,0,0,2,0.7332374674387789,0.11273417457295327,0.15402835798826775,0.7332374674387789,2,0.99943596,0.0002663513,0.00029763128,0.99943596,neutral,positive,positive,False,True,True,0.7332374674387789,0.9994359612464905
C8,comparative_financial_reasoning,revenue_direction,decrease,Revenue decreased from EUR 15 million to EUR 10 million.,negative,0,1,0,0,0,0,0.4112539980087821,0.4112539980087821,0.21726842910787852,0.37147757288333944,0,0.99830294,0.99830294,0.0012327388,0.00046419835,neutral,negative,negative,False,True,True,0.4112539980087821,0.9983029365539551
N1,negation,profitability_negation,affirmative,The company achieved profitability this year.,positive,2,2,2,2,0,2,0.6536748988789892,0.07596494270744099,0.27036015841356986,0.6536748988789892,2,0.9988411,0.00075979304,0.00039916468,0.9988411,positive,positive,positive,True,True,True,0.6536748988789892,0.9988411068916321
N2,negation,profitability_negation,negated,The company did not achieve profitability this year.,negative,0,0,-2,0,2,1,0.590061191593546,0.06730699254305532,0.590061191593546,0.3426318158633987,0,0.9942473,0.9942473,0.0048038648,0.0009487897,negative,neutral,negative,True,False,True,0.06730699254305532,0.994247317314148
