sentence,model,true_class,predicted_class,error_direction,error_category,failure_explanation,interpretation_confidence
"As a result , 12 people will be made redundant and a total of 67 persons are laid off temporarily .",Finance BERT,negative,neutral,negative_to_neutral,implicit_business_event_consequence,The negative meaning depends on recognizing layoffs and redundancies as adverse employment events.,high
"In a note to clients published , the Dutch broker described the company 's third quarter results as ` soft ' , although it also noted that Elcoteq retained its guidance , dealers said .",Finance BERT,neutral,negative,neutral_to_negative,contrast_composition,The sentence combines negative 'soft' results with retained guidance. FinBERT predicts negative rather than integrating the competing clauses into the annotated neutral meaning.,high
The insurance division turned a EUR120m profit .,Finance BERT,neutral,positive,neutral_to_positive,neutral_boundary_lexical_overinterpretation,The word 'profit' creates positive lexical evidence even though the dataset annotates the factual statement as neutral.,medium
Sanoma Corporation wants a new and better frequency for the Helsinki metropolitan area .,Finance BERT,neutral,positive,neutral_to_positive,future_expectation_realization,The sentence expresses a desired future improvement rather than a realized positive outcome.,high
"According to Olvi 's Managing Director Lasse Aho , the company has an ongoing MMX Plus project that aims to find growth outside Finland .",Finance BERT,positive,neutral,positive_to_neutral,future_expectation_realization,"The positive annotation involves a growth-oriented objective, but FinBERT treats the unrealized aim as neutral.",medium
"For Telenor , the three and a half year contract is worth an estimated 12.6 m. YIT has chosen Telenor and Elisa as its principal suppliers of ICT solutions in Norway , Sweden , Denmark and Finland .",Finance BERT,positive,neutral,positive_to_neutral,implicit_business_event_consequence,Being selected as a principal supplier for a valuable contract is a positive commercial event whose polarity is implicit.,high
"The share sale , to foreign and Finnish investors , is expected to raise some euro300 million ( US$ 380 million ) .",Finance BERT,neutral,positive,neutral_to_positive,future_expectation_realization,FinBERT treats an expected financing outcome as positive even though the statement is annotated neutral.,high
"So far the company has awarded more than $ 350,000 worth of tools and materials .",Finance BERT,neutral,positive,neutral_to_positive,neutral_boundary_lexical_overinterpretation,"The term 'awarded' appears favorable, but here the sentence is a factual description annotated neutral.",medium
The second-quarter net sales are expected to be on par with the first quarter of 2009 .,Finance BERT,neutral,negative,neutral_to_negative,future_expectation_realization,"The model assigns negative sentiment to an expectation of unchanged sales, although 'on par' is annotated neutral.",high
"Because expenditures must be justified to pass budget approval hurdles , we believe our RoP model can help make it easier for IT and IT security practitioners to make the business case for acquiring enabling security technologies and related control activities .",Finance BERT,neutral,positive,neutral_to_positive,neutral_boundary_lexical_overinterpretation,"Promotional words such as 'help', 'easier', and 'enabling' produce positive sentiment for a statement annotated neutral.",high
Unit costs for flight operations fell by 6.4 percent .,Finance BERT,positive,negative,positive_to_negative,comparative_financial_reasoning,"A fall sounds negative lexically, but falling costs are economically favorable.",high
Nordea was the cheapest also for a couple in their 30s with debt .,Finance BERT,neutral,positive,neutral_to_positive,neutral_boundary_lexical_overinterpretation,The model interprets 'cheapest' as favorable even though the sentence is annotated as a neutral comparative fact.,medium
"The broker has initiated both Palfinger AG and Konecranes OYJ with ` buy ' recommendations , with 51 and 42 eur price targets respectively .",Finance BERT,positive,neutral,positive_to_neutral,recommendation_benchmark_semantics,"The sentence contains explicit positive analyst recommendations, but FinBERT fails to map the domain-specific recommendation language to the positive label.",high
Diluted loss per share stood at EUR 0.15 versus EUR 0.26 .,Finance BERT,positive,negative,positive_to_negative,comparative_financial_reasoning,"Loss per share falls from 0.26 to 0.15. The word 'loss' is negative, but the directional change is economically positive.",high
The company reports a loss for the period of EUR 0.4 mn compared to a loss of EUR 1.9 mn in the corresponding period in 2005 .,Finance BERT,positive,negative,positive_to_negative,comparative_financial_reasoning,"The company remains loss-making, but the loss narrows from 1.9 million to 0.4 million, which is an improvement.",high
"The contracts of the employees , 96 of whom are blue-collar workers , will be ended between March and August 2011 .",Finance BERT,negative,neutral,negative_to_neutral,implicit_business_event_consequence,Ending employee contracts is an adverse employment event even though explicit sentiment vocabulary is limited.,high
"Combined with the Basware Enterprise Purchase to Pay portfolio , it provides a high level of automation for procurement and invoice workflows .",Finance BERT,neutral,positive,neutral_to_positive,neutral_boundary_lexical_overinterpretation,Positive-sounding product language such as a 'high level of automation' is interpreted positively despite a neutral label.,medium
"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",Finance BERT,negative,positive,negative_to_positive,comparative_financial_reasoning,"The company reports a positive profit level, but profit has declined relative to the previous year, making the sentence negative.",high
Neste Shipping is the most likely to remain Finnish as the oil sector and its transports are significant for emergency supply .,Finance BERT,neutral,negative,neutral_to_negative,neutral_boundary_lexical_overinterpretation,The model assigns negative polarity to a largely factual statement; terms such as 'emergency supply' may contribute negative associations.,medium
Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 .,Finance BERT,negative,positive,negative_to_positive,comparative_financial_reasoning,"ROI deteriorates from 43.8 percent to 4.1 percent, but FinBERT predicts positive despite the unfavorable comparison.",high
"At the same time , the market for automated liquid handling devices is already larger than that for pipettes , according to Biohit .",Finance BERT,neutral,positive,neutral_to_positive,neutral_boundary_lexical_overinterpretation,"The model treats the statement that one market is larger than another as positive, although it is annotated neutral.",medium
"According shipping company Viking Line , the EU decision will have a significant financial impact .",Finance BERT,neutral,negative,neutral_to_negative,neutral_boundary_lexical_overinterpretation,"'Significant financial impact' does not specify positive or negative direction, but FinBERT assigns negative sentiment.",high
"`` After the share purchase is completed , financing will also be provided to expand Latvia 's broadband infrastructure and to develop new areas of business , including acquisitions of other companies . ''",Finance BERT,positive,neutral,positive_to_neutral,implicit_business_event_consequence,"Financing for expansion and new business areas is annotated positive, but the model treats the planned commercial event as neutral.",medium
"With the U.S. Federal Government putting a stake in the ground , vendors - and their customers - are focused on meeting the deadline .",Finance BERT,neutral,positive,neutral_to_positive,neutral_boundary_lexical_overinterpretation,"The sentence describes vendors and customers responding to a government deadline and is annotated neutral. FinBERT assigns positive sentiment to what is primarily a factual statement, possibly reflecting favorable associations with language such as 'focused' and 'meeting the deadline'.",medium
Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn .,Finance BERT,positive,negative,positive_to_negative,comparative_financial_reasoning,The loss narrows from 2.6 million to 1.2 million. Correct sentiment requires combining the negative metric with an improving direction.,high
"The airline has ordered nine Airbus A350-900 aircraft with deliveries from 2011 , and in doing so becomes the lead airline for the latest variant of Rolls-Royce Trent series engines , called the 1700 .",Finance BERT,positive,neutral,positive_to_neutral,implicit_business_event_consequence,"A major aircraft order and becoming the lead airline are positive business developments, but their polarity is not explicitly stated.",medium
"When this investment is in place , Atria plans to expand into the Moscow market .",Finance BERT,neutral,positive,neutral_to_positive,future_expectation_realization,"FinBERT treats a future expansion plan as an already realized positive outcome, while the annotation is neutral.",high
To be number one means creating added value for stakeholders in everything we do .,Finance BERT,neutral,positive,neutral_to_positive,neutral_boundary_lexical_overinterpretation,Aspirational corporate language such as 'number one' and 'added value' is interpreted positively despite a neutral annotation.,high
The group reiterated its forecast that handset manufacturers will sell around 915 mln units this year globally .,Finance BERT,neutral,positive,neutral_to_positive,future_expectation_realization,The model interprets a reiterated sales forecast as positive even though it is primarily a neutral forecast statement.,high
"Many of the commercial vessels had got stuck in the narrow Bay of Bothnia , where the ice is thicker , and around the Aaland islands .",Finance BERT,negative,neutral,negative_to_neutral,implicit_business_event_consequence,Understanding that vessels being stuck in ice is operationally negative requires reasoning about the consequence of the event.,high
"Following the issue , the number of shares in the Swedish company will grow by 9 % .",Finance BERT,neutral,positive,neutral_to_positive,neutral_boundary_lexical_overinterpretation,The word 'grow' receives positive polarity although the sentence only states a change in the number of shares.,high
