sentence,label,label_name
"The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 .",1,neutral
"( ADP News ) - Oct 31 , 2008 - Finnish food company Raisio Oyj ( OMX : RAIVV ) said today that its net profit jumped to EUR 16.4 million ( USD 20.9 m ) for the first nine months of 2008 from EUR 1.1 million for the same period of 2",2,positive
"Profit for the period totalled EUR 1.1 mn , down from EUR 1.6 mn in the third quarter of 2008 .",0,negative
"Founded in 1985 , Quatrocon 's clientele consists of public sector builders , central trading companies and major construction firms .",1,neutral
- Provides summary of the medical equipment pipeline products that the company is developing .,1,neutral
The court found TelecomInvest 's arguments convincing .,2,positive
Industry Investment is very interested in Glaston 's solar energy projects .,2,positive
R&D Loan ) .,1,neutral
"City24 users can search for homes and properties in all areas where City24 is active , even outside their own country .",1,neutral
The continued operations mean the structure after the restructuring of the Aspocomp group including Aspocomp Oulu and the headquarter operations .,1,neutral
"The scheme for TeliaSonera and Altimo is practically identical , except that it involves the merger of their stakes in VimpelCom and Kyivstar .",1,neutral
Cash flow from business operations totalled EUR 0.4 mn compared to a negative EUR 15.5 mn in the first half of 2008 .,2,positive
"The order comprises all production lines for a plywood mill , company said in a statement received by Lesprom Network .",1,neutral
The statutory negotiations at headquarters are part of this decrease .,1,neutral
As a consequence the Works Council had withdrawn its petition to suspend the reorganisation .,1,neutral
"Honkarakenne 's customer in this project is one of the biggest real estate companies in Kazakhstan , according to the company .",1,neutral
Comptel Corporation will publish its financial statements for 2008 on 12 February 2009 .,1,neutral
Managing Director Timo Kohtam+ñki of Lemmink+ñinen Infra nevertheless points out the continued need for infrastructure construction in the Baltic markets .,1,neutral
"After the transaction , Tikkurila has no powder coatings related operations .",1,neutral
"Country : , Finland Sector : Construction-Real Estate Target : Pohjolan Design-Talo Oy Buyer : CapMan Oyj Vendor : Ruukki Group Oyj Deal size in USD : 102.6 m Type : Divestment Status : Agreed",1,neutral
CEO Erkki J+ñrvinen is happy with the company 's performance in 2010 .,2,positive
"Under the rental agreement , Stockmann was committed to invest in the building of a bridge over the Gogol Street or build an underground tunnel for crossing the street by 2004 .",1,neutral
EUR 220 million of the transaction consideration was paid in the form of four-year interest-bearing vendor notes .,1,neutral
"PGE Belchatow runs the 4.44 GW Belchatow coal-fired power plant , and Fortum has intentions to start a CCS demonstration project jointly with Teollisuuden Voima Oyj ( TVO ) - another Finnish utility - at the their jointly owned 565MW Meri-Pori coal-fired facility .",1,neutral
"Vaisala 's Present Weather Detector measures visibility up to 20 km , as well as precipitation type and intensity .",1,neutral
"Rockwell Collins is a provider of flight deck , cabin and information management solutions for business aircraft operators .",1,neutral
Marketing will use Tikkurila 's existing infra structure and local knowledge in Russia .,1,neutral
"Tekla provides 3D software for building and infrastructure engineering , with a focus on building information modelling of steel and concrete structures from design to construction .",1,neutral
The company does not at present hold any of its own shares .,1,neutral
The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant .,2,positive
Vacon controls a further 5 % of the company via investment fund Power Fund I. EUR 1.0 = USD 1.397,1,neutral
"Publishing Sweden 's operating loss was EUR 1.1 mn in Q1 of 2009 , compared to a profit of EUR 0.6 mn a year ago .",0,negative
"Pretax loss totaled EUR 1.2 mn , down from a profit of EUR 2.1 mn in 2004 .",0,negative
The loss for the third quarter of 2007 was EUR 0.3 mn smaller than the loss of the second quarter of 2007 .,2,positive
"The Finnish business delegation includes representatives from over 20 companies that include Nokia Corp , Finnfund , Outokumpu Oyj , OKO Bank , Alteams Oy and Cargotec Corp. .",1,neutral
"The e-commerce site and flagship will be managed by Marimekko North America Retail LLC , a subsidiary established in the U.S. last year .",1,neutral
SRV lowered its net sales estimate for the whole of 2008 due to uncertainties in housing sales .,0,negative
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",2,positive
"CapMan has four investment areas ( CapMan Buyout , CapMan Technology , CapMan Life Science and CapMan Real Estate ) , and each of them has a dedicated team .",1,neutral
The stock rose for a third day on Tuesday bringing its three-day rise to GBX10 .50 or 1.8 % .,2,positive
"The total scholarship amount was 40,000 euros and the recipients were chosen on the recommendation of fine arts universities and sports associations .",1,neutral
"Thanks to his wide contact network and good knowledge of market and business environment , he will give a great contribution to the further development of our Indian operations '' , tells Incap 's President & CEO Juhani Hanninen .",2,positive
Vianor sells tires for cars and trucks as well as a range of other car parts and provides maintenance services .,1,neutral
