sentence,model,true_class,predicted_class
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",Rule-based,positive,neutral
"In July-September 2009 , Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 .",Rule-based,negative,neutral
"` Our strategic cooperation with Rentakran brings us new customers and already-working relationships with the authorities of the new territories , ' said Jarmo Laasanen , a senior manager at Cramo .",Rule-based,positive,neutral
"As a result , 12 people will be made redundant and a total of 67 persons are laid off temporarily .",Rule-based,negative,neutral
"At 12.01 pm , the OMX Helsinki 25 was down 0.66 pct to 3,143.57 and the OMX Helsinki was 0.67 pct lower at 10,530.74 on 253 mln eur turnover .",Rule-based,negative,neutral
"Satama 's net profit for the third quarter of 2007 rose to 275,000 euro ( $ 395,000 ) from 270,000 euro ( $ 388,000 ) for the same period of 2006 .",Rule-based,positive,neutral
Finnish Raute Precision has won large glass batch plant and mortar plant orders from Mexico and the US .,Rule-based,positive,neutral
"Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier , the company said Thursday .",Rule-based,positive,neutral
"Xerox and Stora Enso have teamed up to tailor the iGen3 to the short-run , on-demand packaging market .",Rule-based,positive,neutral
Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 .,Rule-based,negative,neutral
"ADP News - Nov 13 , 2008 - Finnish printed circuit board PCB maker Aspocomp Group Oyj OMX : ACG1V said today that its net loss narrowed to EUR 2 million USD 2.5 m in the first nine months of 2008 from EUR 57",Rule-based,positive,negative
"In the second quarter of 2010 , the group 's pretax loss narrowed to EUR 400,000 from EUR 600,000 .",Rule-based,positive,negative
"As part of the transaction , M-real and Sappi have also signed a long-term agreement on the supply of pulp and BCTMP and other smaller services and supplies .",Rule-based,positive,neutral
"Profit for the period was EUR 9.8 mn , up from EUR 6.0 mn in 2004 .",Rule-based,positive,neutral
"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .",Rule-based,positive,neutral
"Among the Scandinavian companies present in St. Petersburg , is also named the Swedish concern NCC , which implements projects in the field of asphalt production , road and housing construction ( project Swedish Krona ) .",Rule-based,neutral,negative
"Creating interfaces that are more similar to interactions in the real world can enable experiences that are more natural and intuitive , in the same way that modern games and movies are more immersive through the use of realistic 3-D graphics .",Rule-based,neutral,positive
Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .,Rule-based,positive,neutral
Sanoma Corporation wants a new and better frequency for the Helsinki metropolitan area .,Rule-based,neutral,positive
"According to Olvi 's Managing Director Lasse Aho , the company has an ongoing MMX Plus project that aims to find growth outside Finland .",Rule-based,positive,neutral
"Sales in Latin America increased by 42 % to EUR 432mn , and a total of 8.7 mn mobile devices were sold in the area , representing an increase of 32 % from the corresponding period in 2009 .",Rule-based,positive,neutral
"India 's trade with Russia currently stands at four billion dollars , growing 9.6 per cent in fiscal 2007 .",Rule-based,positive,neutral
`` The announced investment of the carmaker Hyundai for example sounds optimistically for us as of course new cars mean new tires . '',Rule-based,positive,neutral
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,Rule-based,negative,neutral
"For Telenor , the three and a half year contract is worth an estimated 12.6 m. YIT has chosen Telenor and Elisa as its principal suppliers of ICT solutions in Norway , Sweden , Denmark and Finland .",Rule-based,positive,neutral
"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",Rule-based,positive,neutral
Finnish silicon wafers manufacturer Okmetic Oyj said it swung to a net profit of 4.9 mln euro $ 6.3 mln in the first nine months of 2006 from a net loss of 1.8 mln euro $ 2.3 mln a year earlier .,Rule-based,positive,negative
The company expects its net sales for the whole 2009 to remain below the 2008 level .,Rule-based,negative,neutral
Both the net sales and operating profit were record high in the company 's history .,Rule-based,positive,neutral
"( ADP News ) - Feb 12 , 2009 - Finnish construction company Lemminkainen Oyj ( HEL : LEM1S ) said today its net profit decreased to EUR 63.5 million ( USD 81.1 m ) for 2008 from EUR 80.6 million for 2007 .",Rule-based,negative,neutral
"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .",Rule-based,positive,neutral
Finnlines estimated in its annual general meeting that 2008 will be financially a tough year due to large investments .,Rule-based,negative,neutral
Finnish Bore that is owned by the Rettig family has grown recently through the acquisition of smaller shipping companies .,Rule-based,positive,neutral
"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .",Rule-based,negative,neutral
Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 % .,Rule-based,negative,neutral
"The fourth quarter saw Rapala swing back to a pretax profit of 1.5 mln eur from a year earlier loss of 1.2 mln on the back of a 30 pct uplift in sales to 44.8 mln eur , and a stronger performance in North America .",Rule-based,positive,neutral
The company expects its net sales in 2008 to increase 5-10 % from 2007 .,Rule-based,positive,neutral
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 6.1 percent growth in beer sales for January-September to 101.99 million liters .",Rule-based,positive,neutral
"The original name Componenta +àm+Ñl , as a subsidiary of the Finnish Componenta Group , has been changed to +àm+Ñl Components and the company has seen a 63 % growth in Q1 2010 , in comparison to Q1 2009 .",Rule-based,positive,neutral
"At some point in 2010 , all separate company names , such as Palmberg , Tekmanni , Lemcon , Forssan Betoni , Suonenjoen Betonituote , among others , will disappear .",Rule-based,neutral,negative
Le Lay succeeds Walter G++nter and will be based in Finland .,Rule-based,neutral,positive
"The stock price rose 70.0 ores or 0.9 % to close at SEK77 .65 , ending a two-day streak of losses .",Rule-based,positive,negative
"Fiskars , the World 's  1 Scissors Brand TM , recently won Learning -« Magazine 's 2011 Teachers ' Choice Award for the Classroom .",Rule-based,positive,neutral
"Citigroup , Inc ( NYSE : C ) has announced that its Global Transaction Services ( GTS ) business has been awarded a new mandate by Finland-based Pohjola Bank Group .",Rule-based,positive,neutral
"Operating profit , excluding non-recurring items , totaled EUR 0.2 mn , down from EUR 0.8 mn in the corresponding period in 2006 .",Rule-based,negative,neutral
"( ADP News ) - Nov 28 , 2008 - Finnish power-supply solutions provider Efore Oyj ( OMX : EFO1V ) announced today the launch of OPUS DC , the latest power system in its OPUS product line .",Rule-based,positive,neutral
The sales price was not disclosed .,Rule-based,neutral,positive
"We offer our clients integrated management consulting , total solutions for complex projects and efficient , best-in-class design and supervision .",Rule-based,neutral,positive
"Fiskars Brands report net sales of EUR 145.8 mn , up from EUR 138.4 mn .",Rule-based,positive,neutral
"Because expenditures must be justified to pass budget approval hurdles , we believe our RoP model can help make it easier for IT and IT security practitioners to make the business case for acquiring enabling security technologies and related control activities .",Rule-based,neutral,positive
Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .,Rule-based,positive,neutral
HELSINKI AFX - KCI Konecranes said it has won an order for four hot metal ladle cranes from Indian steel producer Bhushan Steel and Strips Ltd. .,Rule-based,positive,neutral
"The opportunity will be available only for few employees , however .",Rule-based,neutral,positive
The value of the deal was not disclosed .,Rule-based,neutral,positive
"The company recorded revenues of E658 .1 million during the fiscal year ended December 2007 , an increase of 23 % over 2006 .",Rule-based,positive,neutral
Financial terms were n't disclosed .,Rule-based,neutral,negative
"Revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 .",Rule-based,negative,neutral
"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",Rule-based,neutral,positive
Unit costs for flight operations fell by 6.4 percent .,Rule-based,positive,neutral
The company is well positioned in Brazil and Uruguay .,Rule-based,positive,neutral
Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .,Rule-based,positive,neutral
"Insurer Axa ( PAR : CS ) slid by 5.35 % to EUR 14.15 , after Citigroup and ING slashed their targets on the stock .",Rule-based,negative,neutral
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",Rule-based,negative,neutral
Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .,Rule-based,negative,neutral
The acquisition price was not disclosed .,Rule-based,neutral,positive
"Sales are expected to increase in the end of the year 2006 , however .",Rule-based,positive,neutral
Net sales surged by 30 % to EUR 36 million .,Rule-based,positive,neutral
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",Rule-based,positive,neutral
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .",Rule-based,positive,neutral
"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .",Rule-based,positive,neutral
"Luxembourg-registered investment fund Amber Trust II has won the final approval of Lithuania 's Competition Council to acquire 29.6 percent of Sanitas , the country 's largest pharmaceutical producer .",Rule-based,positive,neutral
"The broker has initiated both Palfinger AG and Konecranes OYJ with ` buy ' recommendations , with 51 and 42 eur price targets respectively .",Rule-based,positive,neutral
"Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier .",Rule-based,positive,neutral
"Repair and maintenance business accounted for net sales of EUR 645.3 mn , up from EUR 563.6 mn .",Rule-based,positive,neutral
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),Rule-based,positive,neutral
Passenger volumes rose by 8.4 % in the accounting period .,Rule-based,positive,neutral
"`` Method and System for Controlling a Hard Disk Drive Using a Multimediacard Physical Interface '' was invented by Marko Ahvenainen Ruutana , Finland .",Rule-based,neutral,positive
"Basware Corporation stock exchange release August 31 , 2010 at 16:25 Basware signed a large deal with an international industrial group Basware will deliver Invoice Automation solution and Connectivity Services to an international industrial group .",Rule-based,positive,neutral
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",Rule-based,positive,neutral
"Excluding non-recurring items , pre-tax profit surged 45 % to EUR80m .",Rule-based,positive,neutral
fi is developing cooperation in keyword advertising with Microsoft .,Rule-based,positive,neutral
"Operating result , excluding one-off items , totaled EUR 9.1 mn compared to EUR 10.6 mn in continuing operations , excluding one-off items in 2004 .",Rule-based,negative,neutral
Lean System supports change management and component purchasing extremely well .,Rule-based,positive,neutral
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",Rule-based,negative,neutral
"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",Rule-based,positive,neutral
Net sales in 2007 are expected to be 10 % up on 2006 .,Rule-based,positive,neutral
BioTie North-American licensing partner Somaxon Pharmaceuticals started a phase II-III clinical study in patients suffering from pathological gambling and a pilot phase II study in nicotine addiction smoking cessation .,Rule-based,neutral,negative
"The businesses to be divested offer dairy , edible fats , ready-meal and ice-cream packaging to multinational and local customers .",Rule-based,neutral,negative
"Finnish pharmaceuticals company Orion reports profit before taxes of EUR 70.0 mn in the third quarter of 2010 , up from EUR 54.9 mn in the corresponding period in 2009 .",Rule-based,positive,neutral
Diluted loss per share stood at EUR 0.15 versus EUR 0.26 .,Rule-based,positive,negative
Acquisitions have been made and businesses have been well integrated .,Rule-based,positive,neutral
The company reports a loss for the period of EUR 0.4 mn compared to a loss of EUR 1.9 mn in the corresponding period in 2005 .,Rule-based,positive,negative
"The contracts of the employees , 96 of whom are blue-collar workers , will be ended between March and August 2011 .",Rule-based,negative,neutral
"A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007 , slightly down from 16.5 mn in 2006 .",Rule-based,negative,neutral
"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",Rule-based,negative,neutral
South African Sappi will become the largest foreign forest industry company operating in Finland as a result of the acquisition Finnish M-real Corporation 's Graphic Papers Business unit .,Rule-based,positive,neutral
"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",Rule-based,positive,neutral
Operating profit for 2009 lower than outlook published earlier .,Rule-based,negative,neutral
"Food sales totalled EUR 323.5 mn in October 2009 , representing a decrease of 5.5 % from October 2008 .",Rule-based,negative,neutral
"The 50-50 joint venture , to be called Nokia Siemens Networks , will be comprised of Nokia 's network business group and Siemens ' carrier-related operations , creating estimated synergies of 1.5 billion euros ( $ 1.9 billion ) by 2010 , Nokia said .",Rule-based,positive,neutral
Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 .,Rule-based,negative,neutral
Operating profit rose to EUR 4.7 mn from EUR 4.6 mn .,Rule-based,positive,neutral
Finnish handling systems company Cargotec Oyj ( HEL : CGCBV ) said today that it won a EUR 13 million ( USD 16.6 m ) contract to deliver MacGregor hatch covers for ships ordered by Norwegian shipowner Grieg Shipping .,Rule-based,positive,neutral
"Operating profit was EUR 139.7 mn , up 23 % from EUR 113.8 mn .",Rule-based,positive,neutral
"`` After the share purchase is completed , financing will also be provided to expand Latvia 's broadband infrastructure and to develop new areas of business , including acquisitions of other companies . ''",Rule-based,positive,neutral
M-real 's sales are expected to have increased by 4 % year-on-year to EUR609m in the second quarter of 2010 .,Rule-based,positive,neutral
"Profit for the period totaled EUR 39.4 mn , up from EUR 33.9 mn in the corresponding period in 2006 .",Rule-based,positive,neutral
"The prosecutor is also demanding Outokumpu pay a fine of EUR 800,000 at most .",Rule-based,negative,neutral
Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn .,Rule-based,positive,negative
Terms of the acquisition were not disclosed .,Rule-based,neutral,positive
"The airline has ordered nine Airbus A350-900 aircraft with deliveries from 2011 , and in doing so becomes the lead airline for the latest variant of Rolls-Royce Trent series engines , called the 1700 .",Rule-based,positive,neutral
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",Rule-based,positive,neutral
"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",Rule-based,positive,neutral
Sales of mid-strength beer decreased by 40 % .,Rule-based,negative,positive
"The fair value of the investment properties totaled EUR 2,534.9 mn , up from EUR 2,455.1 mn in 2006 .",Rule-based,positive,neutral
"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .",Rule-based,negative,neutral
Net sales fell by 5 % from the previous accounting period .,Rule-based,negative,neutral
Finnish department store chain Stockmann Oyj Abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine months of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .,Rule-based,positive,neutral
"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",Rule-based,positive,neutral
Finnish elevators and escalators maker KONE Corporation said on Tuesday ( 18 March ) that it has received a major order from Sir Robert McAlpine to supply all elevators and escalators for the Watermark Place project in the City of London .,Rule-based,positive,neutral
Elektrobit ( EB ) has renewed its IT infrastructure contract with ICT services provider Fujitsu Services for EB 's Patja service .,Rule-based,positive,neutral
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",Rule-based,neutral,negative
Pretax profit decreased by 37 % to EUR 193.1 mn from EUR 305.6 mn .,Rule-based,negative,neutral
"At the end of the review period , Nordic Aluminium 's order book stood at EUR 8.77 mn compared to EUR 7.04 in 2005 .",Rule-based,positive,neutral
"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .",Rule-based,positive,neutral
"Metsa-Botnia will finance the payment of dividends , the repayment of capital and the repurchase of its own shares with the funds deriving from its divestment of the Uruguay operations , and shares in Pohjolan Voima , and by utilising its existing financing facilities .",Rule-based,neutral,negative
"Investments span across various product and investment types , including retail , hospitality , office , and residential , with interests in real-estate portfolios , non-performing loans and corporate restructurings .",Rule-based,neutral,negative
20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss narrowed to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 .,Rule-based,positive,negative
"Finnish shipping company Finnlines , of the Grimaldi Group , reports its net sales decreased to EUR 241.8 mn in January-June 2009 from EUR 384.0 mn in the corresponding period in 2008 .",Rule-based,negative,neutral
Sales rose to 300.9 mln eur compared with last year 's 276.1 mln eur and in line with 299 mln eur consensus figure .,Rule-based,positive,neutral
EBIT margin was up from 1.4 % to 5.1 % .,Rule-based,positive,neutral
Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .,Rule-based,positive,neutral
The company said that sales in the three months to the end of March slid to EUR86 .4 m US$ 113.4 m from EUR91 .2 m last year .,Rule-based,negative,neutral
Juha-Pekka Weckstr+Âm has been appointed President of telecom group TeliaSonera Finland to succeed Esa Rautalinko .,Rule-based,neutral,positive
The robust growth was the result of the inclusion of clothing chain Lindex in the Group in December 2007 .,Rule-based,positive,neutral
Sanoma News ' advertising sales decreased by 22 % during the year .,Rule-based,negative,neutral
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",Rule-based,positive,neutral
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,Rule-based,positive,neutral
"Full-year net sales are expected to increase by approximately 10 % , the company said .",Rule-based,positive,neutral
"Net interest income was EUR 39.3 mn , up from EUR 32.7 mn .",Rule-based,positive,neutral
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 241.2 mn in 2006 , down from EUR 321.6 mn in 2005 .",Rule-based,negative,neutral
"Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago .",Rule-based,negative,neutral
"Operating profit totalled EUR 5.8 mn , up from a loss of EUR 1.7 mn in the fourth quarter of 2009 .",Rule-based,positive,negative
"Finnish Kemira 's net sales EUR decreased to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008 .",Rule-based,negative,neutral
According to an  posted by the World Intellectual Property Organization : `` The present invention relates to hydrocarbons and particularly to the manufacture of hydrocarbon components suitable as aviation fuels or jet fuels and as blending stocks for aviation fuels .,Rule-based,neutral,positive
"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 % .",Rule-based,negative,neutral
Why put up costly cell phone towers in thinly populated areas when a few balloons would do ?,Rule-based,neutral,negative
"When completed , the 120-meter Watchtower will be the highest building in Ireland .",Rule-based,neutral,positive
"The negotiations concern personnel of Cencorp Corporation and Singulase Oy as whole in Finland and in Sweden , the company said .",Rule-based,neutral,negative
Officials did not disclose the contract value .,Rule-based,neutral,positive
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,Rule-based,positive,neutral
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,Rule-based,positive,neutral
`` Stonesoft sees great promise in the future of IPv6 .,Rule-based,positive,neutral
The negotiations concern 246 salaried and senior salaried employees and are scheduled to be completed in six weeks .,Rule-based,neutral,negative
"The company 's scheduled traffic , measured in revenue passenger kilometres RPK , grew by just over 2 % and nearly 3 % more passengers were carried on scheduled flights than in February 2009 .",Rule-based,positive,neutral
"In Middle East & North Africa , Tecnotree has grown considerably in the recent years .",Rule-based,positive,neutral
"Following the divestment , Fiskars 's Outdoor unit will comprise the brands Gerber , Silva and Buster , and will focus on multi-tools , knives , compasses , mobile lighting , pedometers , and aluminium boats .",Rule-based,neutral,negative
"In sales volume , Coca-Cola 's market share has decreased by 2.2 % to 24.2 % .",Rule-based,negative,neutral
"Finnish IT solutions provider Affecto Oyj said today that it has won a frame contract , valued at some EUR2m , to implement the next phase of its insurance application for South African Mutual & Federal Insurance Company Limited M&F .",Rule-based,positive,neutral
"Outotec said it won new orders worth 492.9 mln eur during the quarter , compared with 240.4 mln eur a year earlier .",Rule-based,positive,neutral
Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .,Rule-based,positive,neutral
The rationalization of the operations seeks to achieve over EUR 1 million in yearly savings as from the second quarter of the current financial year .,Rule-based,positive,neutral
21 December 2010 - Finnish industrial machinery company Wartsila Oyj Abp HEL : WRT1V said yesterday it had won an order to design a liquefied natural gas LNG powered platform supply vessel PSV for Norwegian oil service provider Eidesvik Offshore ASA OSL : EIOF .,Rule-based,positive,neutral
"Many of the commercial vessels had got stuck in the narrow Bay of Bothnia , where the ice is thicker , and around the Aaland islands .",Rule-based,negative,neutral
"Operating profit surged to EUR21m from EUR106 ,000 .",Rule-based,positive,neutral
"Operating profit , excluding non-recurring items , totalled EUR 2.2 mn , down from EUR 2.7 mn in the corresponding period in 2008 .",Rule-based,negative,neutral
The server is responsible for managing devices and user accounts and a desktop client application enables remote access to the mobile phones .,Rule-based,neutral,positive
"`` We continued actively to focus R&D and to position our offering away from point solutions towards dynamic end-to-end solutions , '' Ervio stated .",Rule-based,positive,neutral
"`` We have analyzed Kaupthing Bank Sweden and found a business which fits well into Alandsbanken , '' said Alandsbanken 's chief executive Peter Wiklof in a statement .",Rule-based,positive,neutral
Honkarakenne Oyj - a world-leading manufacturer of genuine wooden homes - will be sponsoring Finnish crosscountry skier Virpi Kuitunen for the next three years .,Rule-based,neutral,positive
Incap Contract Manufacturing Services Private Limited has inked agreements with six new customers in India .,Rule-based,positive,neutral
"The company is in the process of building a new fleet and has placed orders for 10 P-Max tankers of 65,200 dwt .",Rule-based,positive,neutral
"An  of the invention , released by the Patent Office , said : `` The chambers are pressurized .",Rule-based,neutral,positive
