sentence,label_name,rule_prediction_name,tfidf_prediction_name,finbert_prediction_name,disagreement_category,negation,contrast,expectation,uncertainty,primary_phenomenon,failure_explanation,interpretation_confidence
"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 % .",negative,neutral,neutral,negative,finbert_only_correct,False,False,False,False,quantitative_directionality,"The sentence expresses negative sentiment through a measured decrease in readership. FinBERT captures the direction of the change, while the rule and TF-IDF models return neutral.",high
Lean System supports change management and component purchasing extremely well .,positive,neutral,neutral,positive,finbert_only_correct,False,False,False,False,evaluative_business_language,Positive meaning is expressed through the broader evaluation 'supports ... extremely well' rather than a simple financial change word. FinBERT captures this evaluative context while the simpler models return neutral.,high
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",negative,neutral,neutral,negative,finbert_only_correct,False,False,False,False,business_event_semantics,The negative meaning follows from the combination of tougher competition and substantially reduced demand. FinBERT captures the adverse business context while the simpler models do not.,high
"The company is in the process of building a new fleet and has placed orders for 10 P-Max tankers of 65,200 dwt .",positive,neutral,neutral,positive,finbert_only_correct,False,False,False,False,business_event_semantics,The positive label depends on interpreting fleet expansion and new tanker orders as a favorable business-development event. FinBERT captures this event-level meaning while the simpler models classify it as neutral.,medium
Sales of mid-strength beer decreased by 40 % .,negative,positive,neutral,negative,finbert_only_correct,False,False,False,False,quantitative_directionality,The key signal is a 40 percent decrease in sales. FinBERT correctly interprets the quantitative direction as negative; TF-IDF returns neutral and the rule model produces the wrong polarity.,high
"The company 's scheduled traffic , measured in revenue passenger kilometres RPK , grew by just over 2 % and nearly 3 % more passengers were carried on scheduled flights than in February 2009 .",positive,neutral,neutral,positive,finbert_only_correct,False,False,False,False,quantitative_directionality,Growth in revenue passenger kilometres and passenger numbers indicates positive performance. FinBERT combines these quantitative changes correctly while the simpler models remain neutral.,high
Sanoma Corporation wants a new and better frequency for the Helsinki metropolitan area .,neutral,positive,neutral,positive,tfidf_only_correct,False,False,False,False,future_intention_vs_realization,"The sentence describes something the company wants rather than an achieved improvement. The words 'new' and 'better' appear to pull the rule model and FinBERT toward positive sentiment, while TF-IDF correctly preserves the neutral label.",high
"Because expenditures must be justified to pass budget approval hurdles , we believe our RoP model can help make it easier for IT and IT security practitioners to make the business case for acquiring enabling security technologies and related control activities .",neutral,positive,neutral,positive,tfidf_only_correct,False,False,False,False,surface_lexical_polarity,"The sentence contains favorable promotional language such as 'help', 'easier', and 'enabling', but the annotated statement is neutral. The rule model and FinBERT appear to overinterpret this positive surface language.",medium
Diluted loss per share stood at EUR 0.15 versus EUR 0.26 .,positive,negative,positive,negative,tfidf_only_correct,False,False,False,False,comparative_financial_reasoning,"The word 'loss' is negative in isolation, but loss per share improves from 0.26 to 0.15. The rule model and FinBERT appear dominated by the negative concept 'loss', whereas TF-IDF correctly captures the favorable comparison.",high
The company reports a loss for the period of EUR 0.4 mn compared to a loss of EUR 1.9 mn in the corresponding period in 2005 .,positive,negative,positive,negative,tfidf_only_correct,False,False,False,False,comparative_financial_reasoning,"The company still reports a loss, but the loss narrows from 1.9 million to 0.4 million. Correct polarity therefore requires reasoning jointly about the financial metric and the direction of change. TF-IDF succeeds while FinBERT and the rule model do not.",high
Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 .,negative,neutral,negative,positive,tfidf_only_correct,False,False,False,False,comparative_financial_reasoning,"Return on investment falls sharply from 43.8 percent to 4.1 percent. TF-IDF correctly recognizes the negative comparison, while FinBERT assigns positive sentiment despite the deterioration.",high
Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn .,positive,negative,positive,negative,tfidf_only_correct,False,False,False,False,comparative_financial_reasoning,"The loss after taxes narrows from 2.6 million to 1.2 million, which is favorable despite the repeated negative word 'loss'. TF-IDF captures the comparative meaning while FinBERT and the rule model classify the sentence as negative.",high
