sentence,label_name,rule_prediction_name,tfidf_prediction_name,finbert_prediction_name,disagreement_category,negation,contrast,expectation,uncertainty
"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 % .",negative,neutral,neutral,negative,finbert_only_correct,False,False,False,False
Lean System supports change management and component purchasing extremely well .,positive,neutral,neutral,positive,finbert_only_correct,False,False,False,False
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",negative,neutral,neutral,negative,finbert_only_correct,False,False,False,False
"The company is in the process of building a new fleet and has placed orders for 10 P-Max tankers of 65,200 dwt .",positive,neutral,neutral,positive,finbert_only_correct,False,False,False,False
Sales of mid-strength beer decreased by 40 % .,negative,positive,neutral,negative,finbert_only_correct,False,False,False,False
"The company 's scheduled traffic , measured in revenue passenger kilometres RPK , grew by just over 2 % and nearly 3 % more passengers were carried on scheduled flights than in February 2009 .",positive,neutral,neutral,positive,finbert_only_correct,False,False,False,False
Sanoma Corporation wants a new and better frequency for the Helsinki metropolitan area .,neutral,positive,neutral,positive,tfidf_only_correct,False,False,False,False
"Because expenditures must be justified to pass budget approval hurdles , we believe our RoP model can help make it easier for IT and IT security practitioners to make the business case for acquiring enabling security technologies and related control activities .",neutral,positive,neutral,positive,tfidf_only_correct,False,False,False,False
Diluted loss per share stood at EUR 0.15 versus EUR 0.26 .,positive,negative,positive,negative,tfidf_only_correct,False,False,False,False
The company reports a loss for the period of EUR 0.4 mn compared to a loss of EUR 1.9 mn in the corresponding period in 2005 .,positive,negative,positive,negative,tfidf_only_correct,False,False,False,False
Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 .,negative,neutral,negative,positive,tfidf_only_correct,False,False,False,False
Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn .,positive,negative,positive,negative,tfidf_only_correct,False,False,False,False
Karppinen expects the consolidation trend to continue in the Finnish market .,neutral,neutral,positive,positive,rule_only_correct,False,False,True,False
Operating loss increased to EUR 17mn from a loss of EUR 10.8 mn in 2005 .,negative,negative,positive,positive,rule_only_correct,False,False,False,False
"`` We have analyzed Kaupthing Bank Sweden and found a business which fits well into Alandsbanken , '' said Alandsbanken 's chief executive Peter Wiklof in a statement .",positive,neutral,neutral,neutral,all_wrong,False,False,False,False
"Many of the commercial vessels had got stuck in the narrow Bay of Bothnia , where the ice is thicker , and around the Aaland islands .",negative,neutral,neutral,neutral,all_wrong,False,False,False,False
"As a result , 12 people will be made redundant and a total of 67 persons are laid off temporarily .",negative,neutral,neutral,neutral,all_wrong,False,False,False,False
"The airline has ordered nine Airbus A350-900 aircraft with deliveries from 2011 , and in doing so becomes the lead airline for the latest variant of Rolls-Royce Trent series engines , called the 1700 .",positive,neutral,neutral,neutral,all_wrong,False,False,False,False
"The contracts of the employees , 96 of whom are blue-collar workers , will be ended between March and August 2011 .",negative,neutral,neutral,neutral,all_wrong,False,False,False,False
"For Telenor , the three and a half year contract is worth an estimated 12.6 m. YIT has chosen Telenor and Elisa as its principal suppliers of ICT solutions in Norway , Sweden , Denmark and Finland .",positive,neutral,neutral,neutral,all_wrong,False,False,False,False
Finnish handling systems company Cargotec Oyj ( HEL : CGCBV ) said today that it won a EUR 13 million ( USD 16.6 m ) contract to deliver MacGregor hatch covers for ships ordered by Norwegian shipowner Grieg Shipping .,positive,neutral,positive,positive,finbert_tfidf_correct,False,False,False,False
"Finnish Kemira 's net sales EUR decreased to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008 .",negative,neutral,negative,negative,finbert_tfidf_correct,False,False,False,False
"Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier , the company said Thursday .",positive,neutral,positive,positive,finbert_tfidf_correct,False,False,False,False
"Repair and maintenance business accounted for net sales of EUR 645.3 mn , up from EUR 563.6 mn .",positive,neutral,positive,positive,finbert_tfidf_correct,False,False,False,False
"HELSINKI (Thomson Financial)- Kemira GrowHow swung into profit in its first quarter earnings on improved sales , especially in its fertilizer business in Europe , which is normally stronger during the first quarter .",positive,positive,neutral,positive,finbert_rule_correct,False,False,False,False
"Mika Stahlberg , VP F-Secure Labs , said , `` We are excited and proud that F-Secure has been recognized by AV-Comparatives as the Product of the Year .",positive,positive,neutral,positive,finbert_rule_correct,False,False,False,False
"The Dutch broker noted that Nokian Tyres reported a good first quarter in 2006 , above or in line with consensus .",positive,positive,neutral,positive,finbert_rule_correct,False,False,False,False
"According shipping company Viking Line , the EU decision will have a significant financial impact .",neutral,neutral,neutral,negative,tfidf_rule_correct,False,False,False,False
"When this investment is in place , Atria plans to expand into the Moscow market .",neutral,neutral,neutral,positive,tfidf_rule_correct,False,False,False,False
"In a note to clients published , the Dutch broker described the company 's third quarter results as ` soft ' , although it also noted that Elcoteq retained its guidance , dealers said .",neutral,neutral,neutral,negative,tfidf_rule_correct,False,True,True,False
